Orden,Dependencia,Atencion,Recibio del cer,Entrego al cer,Folio,Entrada,Equipo,Marca,Modelo,Serie,Unidad,Delegacion,Accesorios,Falla,Ticket,Status,Reparacion,Salida,Reparacion,Servicio,Reporte,LinkR,,linkO,Descarga
A14,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9410246,11,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A14,http://10.90.111.119:5000/resguardo/A14,http://10.90.111.119:5000/orden/A14,http://10.90.111.119:5000/orden/A14
A15,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9910292,13,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A15,http://10.90.111.119:5000/resguardo/A15,http://10.90.111.119:5000/orden/A15,http://10.90.111.119:5000/orden/A15
A16,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9910294,17,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A16,http://10.90.111.119:5000/resguardo/A16,http://10.90.111.119:5000/orden/A16,http://10.90.111.119:5000/orden/A16
A17,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9A10126,24,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A17,http://10.90.111.119:5000/resguardo/A17,http://10.90.111.119:5000/orden/A17,http://10.90.111.119:5000/orden/A17
A18,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9A10129,25,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A18,http://10.90.111.119:5000/resguardo/A18,http://10.90.111.119:5000/orden/A18,http://10.90.111.119:5000/orden/A18
A19,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9810117,26,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A19,http://10.90.111.119:5000/resguardo/A19,http://10.90.111.119:5000/orden/A19,http://10.90.111.119:5000/orden/A19
A20,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9B10119,28,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A20,http://10.90.111.119:5000/resguardo/A20,http://10.90.111.119:5000/orden/A20,http://10.90.111.119:5000/orden/A20
A21,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9910291,30,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A21,http://10.90.111.119:5000/resguardo/A21,http://10.90.111.119:5000/orden/A21,http://10.90.111.119:5000/orden/A21
A22,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9910293,34,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A22,http://10.90.111.119:5000/resguardo/A22,http://10.90.111.119:5000/orden/A22,http://10.90.111.119:5000/orden/A22
A23,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/2190,12-Jan,MOVIL,KENWOOD,NX740H,B9910295,37,OPERATIVA,,,,ENTRAGADO,18-Jan,18-Jan,CER,INSTALACION,"SE PROGRAMO RADIO CON CAN OPERARIVO DE A.P. , Y SE REALIZO LA INTALACION EN UNIDAD OPERATIVA DE DIR. ",http://10.90.111.119:5000/resguardo/A23,http://10.90.111.119:5000/resguardo/A23,http://10.90.111.119:5000/orden/A23,http://10.90.111.119:5000/orden/A23
