Orden,Dependencia,Atencion,Recibio del cer,Entrego al cer,Folio,Entrada,Equipo,Marca,Modelo,Serie,Unidad,Delegacion,Accesorios,Falla,Ticket,Status,Reparacion,Salida,Reparacion,Servicio,Reporte,LinkR,,linkO,Descarga
A207,MOVILIDAD,,,,DGM/CA-0078/21,16-Feb,PORTATIL,KENWOOD,TK-3302,B2500547,XX,OPERATIVA,,,,ENTRAGADO,18-Feb,23-Feb,CER,DIAGNOSTICO,EL EQUIPO ENCIENDE HOUSING EN MAL ESTADO,http://10.90.111.119:5000/resguardo/A207,http://10.90.111.119:5000/resguardo/A207,http://10.90.111.119:5000/orden/A207,http://10.90.111.119:5000/orden/A207
A208,MOVILIDAD,,,,DGM/CA-0078/21,16-Feb,PORTATIL,KENWOOD,TK-3302,B1903003,XX,OPERATIVA,,,,ENTRAGADO,18-Feb,23-Feb,CER,DIAGNOSTICO,"EL EQUIPO TRABAJA CORRECTAMENETE, ANTENA EN MAL ESTADO",http://10.90.111.119:5000/resguardo/A208,http://10.90.111.119:5000/resguardo/A208,http://10.90.111.119:5000/orden/A208,http://10.90.111.119:5000/orden/A208
A209,MOVILIDAD,,,,DGM/CA-0078/21,16-Feb,PORTATIL,KENWOOD,TK-3302,A8A03004,XX,OPERATIVA,,,,ENTRAGADO,18-Feb,23-Feb,CER,DIAGNOSTICO,EL EQUIPO ENCIENDE HOUSING EN MAL ESTADO,http://10.90.111.119:5000/resguardo/A209,http://10.90.111.119:5000/resguardo/A209,http://10.90.111.119:5000/orden/A209,http://10.90.111.119:5000/orden/A209
A210,MOVILIDAD,,,,DGM/CA-0078/21,16-Feb,PORTATIL,KENWOOD,TK-3302,B2500542,XX,OPERATIVA,,,,ENTRAGADO,18-Feb,23-Feb,CER,DIAGNOSTICO,EL EQUIPO ENCIENDE HOUSING EN MAL ESTADO,http://10.90.111.119:5000/resguardo/A210,http://10.90.111.119:5000/resguardo/A210,http://10.90.111.119:5000/orden/A210,http://10.90.111.119:5000/orden/A210
A211,MOVILIDAD,,,,DGM/CA-0078/21,16-Feb,PORTATIL,KENWOOD,TK-3160,80300474,XX,OPERATIVA,,,,ENTRAGADO,18-Feb,23-Feb,CER,DIAGNOSTICO,EL EQUIPO ENCIENDE HOUSING EN MAL ESTADO,http://10.90.111.119:5000/resguardo/A211,http://10.90.111.119:5000/resguardo/A211,http://10.90.111.119:5000/orden/A211,http://10.90.111.119:5000/orden/A211
A212,MOVILIDAD,,,,DGM/CA-0078/21,16-Feb,PORTATIL,KENWOOD,TK-2302,B2602549,XX,OPERATIVA,,,,ENTRAGADO,18-Feb,23-Feb,CER,DIAGNOSTICO,EL EQUIPO TIENE FALLA EN LA PARTE DE RX,http://10.90.111.119:5000/resguardo/A212,http://10.90.111.119:5000/resguardo/A212,http://10.90.111.119:5000/orden/A212,http://10.90.111.119:5000/orden/A212
A213,MOVILIDAD,,,,DGM/CA-0078/21,16-Feb,PORTATIL,KENWOOD,NX-320,B4500972,XX,OPERATIVA,,,,ENTRAGADO,18-Feb,23-Feb,CER,DIAGNOSTICO,EL EQUIPO TIEN FALLA EN CONTROL DE VOLUMEN ,http://10.90.111.119:5000/resguardo/A213,http://10.90.111.119:5000/resguardo/A213,http://10.90.111.119:5000/orden/A213,http://10.90.111.119:5000/orden/A213
A214,POLICIA,,,,39,18-Feb,MOBIL,SEPURA,SRG3900,8PRF01624G7C2NM,164,SAN MIGUEL,,,,ENTRAGADO,18-Feb,22-Feb,CESAR,REPARADO,"SE REPARO FALLA EN TARJETA, SE REVISAN PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK",http://10.90.111.119:5000/resguardo/A214,http://10.90.111.119:5000/resguardo/A214,http://10.90.111.119:5000/orden/A214,http://10.90.111.119:5000/orden/A214
A215,CABINA C4,,,,XX,19-Feb,PORTATIL,SEPURA,STP9038,1PRC01625G8A7UG,XX,DIR. OPERATIVO,,,,ENTRAGADO,19-Feb,19-Feb,PEPE,REPARADO,"SE REPARO FALLA EN CONTROL DE VOLUMEN, SE REVISARON PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK.",http://10.90.111.119:5000/resguardo/A215,http://10.90.111.119:5000/resguardo/A215,http://10.90.111.119:5000/orden/A215,http://10.90.111.119:5000/orden/A215
A216,POLICIA,,,,41,22-Feb,BATERIA,SEPURA,STP9000,D-542 - D46,XX,10 DE MAYO,,,,ENTRAGADO,1-Mar,1-Mar,PEPE,REPARACION,SE DIAGNOSTICO EQUIPO,http://10.90.111.119:5000/resguardo/A216,http://10.90.111.119:5000/resguardo/A216,http://10.90.111.119:5000/orden/A216,http://10.90.111.119:5000/orden/A216
A217,POLICIA,,,,42,22-Feb,BATERIA,SEPURA,,,,,,,,ENTRAGADO,,,,,,http://10.90.111.119:5000/resguardo/A217,http://10.90.111.119:5000/resguardo/A217,http://10.90.111.119:5000/orden/A217,http://10.90.111.119:5000/orden/A217
A218,POLICIA,,,,43,22-Feb,BATERIA,SEPURA,161,D-340,XX,CONTROL DE RADIOS,,,14415,ENTRAGADO,1-Mar,,SERGIO,DIAGNOSTICO,LAS BATERIAS PRESENTAN ABULTAMIENTO EN SU ESTRUCTURA Y NO RETIENEN LA CARGA,http://10.90.111.119:5000/resguardo/A218,http://10.90.111.119:5000/resguardo/A218,http://10.90.111.119:5000/orden/A218,http://10.90.111.119:5000/orden/A218
A219,TESORERIA,,,,TML/DGI/3043/2021,22-Feb,PORTATIL,MOTOROLA,PRO5150,672YCN1152,XX,ADMINISTRATIVO,,,,ENTRAGADO,24-Feb,3-Mar,CESAR,DIAGNOSTICO,SE DIAGNOSTICO EQUIPO,http://10.90.111.119:5000/resguardo/A219,http://10.90.111.119:5000/resguardo/A219,http://10.90.111.119:5000/orden/A219,http://10.90.111.119:5000/orden/A219
A220,TESORERIA,,,,TML/DGI/3043/2021,22-Feb,PORTATIL,MOTOROLA,PRO5150,672FAY1227,XX,ADMINISTRATIVO,,,,ENTRAGADO,24-Feb,3-Mar,CESAR,DIAGNOSTICO,SE DIAGNOSTICO EQUIPO,http://10.90.111.119:5000/resguardo/A220,http://10.90.111.119:5000/resguardo/A220,http://10.90.111.119:5000/orden/A220,http://10.90.111.119:5000/orden/A220
A221,TESORERIA,,,,TML/DGI/3043/2021,22-Feb,PORTATIL,MOTOROLA,PRO5150,672TLJL155,XX,ADMINISTRATIVO,,,,ENTRAGADO,24-Feb,3-Mar,CESAR,DIAGNOSTICO,SE DIAGNOSTICO EQUIPO,http://10.90.111.119:5000/resguardo/A221,http://10.90.111.119:5000/resguardo/A221,http://10.90.111.119:5000/orden/A221,http://10.90.111.119:5000/orden/A221
A222,POLICIA,,,,44,24-Feb,MOBIL,SEPURA,SRG3900,8PRF01632G700BJ,1012,MONTADA,,,,ENTRAGADO,24-Feb,24-Jan,CESAR,DIAGNOSTICO,EL EQUIPO TRABAJA CORRECTAMENETE SE REVISAN PARAMETROS GENERALES CORRECTPOS RX-OK Y TX-OK,http://10.90.111.119:5000/resguardo/A222,http://10.90.111.119:5000/resguardo/A222,http://10.90.111.119:5000/orden/A222,http://10.90.111.119:5000/orden/A222
A223,TRANSITO,,,,DGTM/CA/CP/SU-180/2021,24-Feb,MOBIL,KENWOOD,NX-820,B3900629,170,DECIMA,,,,ENTRAGADO,25-Feb,26-Feb,CESAR Y PEPE,INSTALACION,"SE INSTALO EQUIPO COMPLETO DE RADIO MOBIL EN UNIDAD, SE REVISARON PARAMETROS GENERALES CORRECTOS TRX-OK Y TX-OK.",http://10.90.111.119:5000/resguardo/A223,http://10.90.111.119:5000/resguardo/A223,http://10.90.111.119:5000/orden/A223,http://10.90.111.119:5000/orden/A223
A224,POLICIA,,,,45,26-Feb,BATERIA,SEPURA,XX,D-907,XX,JOYAS,,,,ENTRAGADO,26-Feb,,JC,DIAGNOSTICO,"SE REVISA LA BATERIA DETECTANDO QUE ESTA ABULTADA SE REALIZAN LAS PRUEBAS DE LABORATORIO CORRESPONDIENTES DETERMINANDO QUE LA BATERIA YA NO RETIENE LA CARGA, YA CUMPLIO CON SU CICLO DE VIDA UTIL. NOTA: LAS BATERIAS TIENEN UN CICLO DE VIDA DE 2 AÑOS POR LO QUE SE RECOMIENDA SU REEMPLAZO",http://10.90.111.119:5000/resguardo/A224,http://10.90.111.119:5000/resguardo/A224,http://10.90.111.119:5000/orden/A224,http://10.90.111.119:5000/orden/A224
A225,POLICIA,,,,46,1-Mar,BATERIA,SEPURA,"294, 305, 333,338","D-599, D-621, D-622, D-667,   D-687",XX,IBARRILLA,,,14436,ENTRAGADO,3-Mar,,SERGIO,DIAGNOSTICO,"SE REVISAN LAS BATERIAS DETECTANDO QUE ESTAN ABULTADAS SE REALIZAN LAS PRUEBAS DE LABORATORIO CORRESPONDIENTES DETERMINANDO QUE LAS BATERIAS YA NO RETIENEN LA CARGA, YA CUMPLIERON CON SU CICLO DE VIDA UTIL. NOTA: LAS BATERIAS TIENEN UN CICLO DE VIDA DE 2 AÑOS POR LO QUE SE RECOMIENDA SU REEMPLAZO",http://10.90.111.119:5000/resguardo/A225,http://10.90.111.119:5000/resguardo/A225,http://10.90.111.119:5000/orden/A225,http://10.90.111.119:5000/orden/A225
A226,POLICIA,,,,47,1-Mar,BATERIA,SEPURA,XX,D-1054 D-1697 D-1699 D-1700,XX,CONTROL DE RADIOS,,,,ENTRAGADO,3-Mar,,PEPE,DIAGNOSTICO,"SE REVISAN LAS BATERIAS DETECTANDO QUE ESTAN ABULTADAS SE REALIZAN LAS PRUEBAS DE LABORATORIO CORRESPONDIENTES DETERMINANDO QUE LAS BATERIAS YA NO RETIENEN LA CARGA, YA CUMPLIERON CON SU CICLO DE VIDA UTIL. NOTA: LAS BATERIAS TIENEN UN CICLO DE VIDA DE 2 AÑOS POR LO QUE SE RECOMIENDA SU REEMPLAZO",http://10.90.111.119:5000/resguardo/A226,http://10.90.111.119:5000/resguardo/A226,http://10.90.111.119:5000/orden/A226,http://10.90.111.119:5000/orden/A226
A227,POLICIA,,,,48,1-Mar,BATERIA,SEPURA,XX,D-1046 Y D-1097,XX,CERRITO DE JEREZ,,,14435,ENTRAGADO,1-Mar,,JC,DIAGNOSTICO,"SE REVISAN LAS BATERIAS DETECTANDO QUE ESTAN ABULTADAS SE REALIZAN LAS PRUEBAS DE LABORATORIO CORRESPONDIENTES DETERMINANDO QUE LAS BATERIAS YA NO RETIENEN LA CARGA, YA CUMPLIERON CON SU CICLO DE VIDA UTIL. NOTA: LAS BATERIAS TIENEN UN CICLO DE VIDA DE 2 AÑOS POR LO QUE SE RECOMIENDA SU REEMPLAZO",http://10.90.111.119:5000/resguardo/A227,http://10.90.111.119:5000/resguardo/A227,http://10.90.111.119:5000/orden/A227,http://10.90.111.119:5000/orden/A227
A228,POLICIA,,,,CV00055,2-Mar,MOVIL,SEPURA,SRG3900,2PSJ01908G78ZY,1066,ESTACION DE POLICIA,,,,ENTRAGADO,2-Mar,2-Mar,CESAR,REPARACION,SE RAPARA DAÑO EN LA TARJETA QUE CAUSABA CORTO ,http://10.90.111.119:5000/resguardo/A228,http://10.90.111.119:5000/resguardo/A228,http://10.90.111.119:5000/orden/A228,http://10.90.111.119:5000/orden/A228
A229,TRANSITO,,,,107,2-Mar,"CARGADOR, ELIMINADOR",KENWOOD,KSC-32,90400102,XX,SUPERVISION DE UNIDADES,,,14438,ENTRAGADO,4-Mar,8-Mar,SERGIO,DIAGNOSTICO,"SE DA MANTENIMIENTO AL CARGADOR, DE REVISAN PARAMETROS Y OPERA CORRECTAMENTE",http://10.90.111.119:5000/resguardo/A229,http://10.90.111.119:5000/resguardo/A229,http://10.90.111.119:5000/orden/A229,http://10.90.111.119:5000/orden/A229
A230,TRANSITO,,,,108,2-Mar,CARGADOR,KENWOOD,KSC-32,90400210,XX,SUPERVISION DE UNIDADES,,,14439,ENTRAGADO,3-Mar,8-Mar,JC,DIAGNOSTICO,"SE REVISO EL CARGADOR, SE REALIZAN PRUEBAS DE LABORATORIO Y SE DETECTA QUE LA TARJETA DEL MISMO ESTA DAÑADA. NOTA: LA REPARACION DEL CARGADOR YA NO ES COSTEABLE POR LO QUE SE RECOMIENDA SU REEMPLAZO.",http://10.90.111.119:5000/resguardo/A230,http://10.90.111.119:5000/resguardo/A230,http://10.90.111.119:5000/orden/A230,http://10.90.111.119:5000/orden/A230
A231,POLICIA,,,,49,2-Mar,PORTATIL,SEPURA,STP3900,1PREC01626G8B0LB,XX,LEONII,,,,ENTRAGADO,8-Mar,,PEPE,REPARACION,"SE CAMBIO BOTON DE PTT, RX-OK   TX-OK",http://10.90.111.119:5000/resguardo/A231,http://10.90.111.119:5000/resguardo/A231,http://10.90.111.119:5000/orden/A231,http://10.90.111.119:5000/orden/A231
A232,POLICIA,,,,CV-00058,2-Mar,MOVIL,SEPURA,SRG3900,2PJ01916G794NP,267,ESTACION DE POLICIA,,,,ENTRAGADO,2-Mar,,JC Y MARTIN,REPARADO,"SE REVISO EL CABLEADO DE LA UNIDAD DETECTANDO QUE LOS CABLES DE ANTENA DE RADIO Y GPS ESTAN DESCONECTADOS POR LO QUE SE PROCEDE A CONECTAR LOS CABLES DE ANTENA DE RADIO Y GPS, FUNCIONA CORRECTAMENTE , PARAMETROS CORRECTOS RX Y TX-OK.",http://10.90.111.119:5000/resguardo/A232,http://10.90.111.119:5000/resguardo/A232,http://10.90.111.119:5000/orden/A232,http://10.90.111.119:5000/orden/A232
A233,POLICIA,,,,53,2-Mar,PORTATIL,SEPURA,STP9038,1PRC01625G8A82F,XX,DISTRITO SAN MIGUEL,,,,ENTRAGADO,10-Mar,16-Mar,CESAR,DIAGNOSTICO,"SE REVISA EQUIPO ENCONTRANDO FALLA EN TARJETA PRICIPAL POR LO QUE NO ES COSTEABLE SU REPARACION, SE REGRESA A LA DEPENDENCIA PARA LOS FINES QUE MAS CONVENGAN.",http://10.90.111.119:5000/resguardo/A233,http://10.90.111.119:5000/resguardo/A233,http://10.90.111.119:5000/orden/A233,http://10.90.111.119:5000/orden/A233
A234,POLICIA,,,,CV-0057,3-Mar,MOVIL,SEPURA,SRG3900,2PSJ01911G786OH,232,ESTACION DE POLICIA,,,,ENTRAGADO,3-Mar,3-Mar,PEPE,REPARACION,"SE CAMBIO FUSIBLE DAÑADO, SE REVISARON PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK.",http://10.90.111.119:5000/resguardo/A234,http://10.90.111.119:5000/resguardo/A234,http://10.90.111.119:5000/orden/A234,http://10.90.111.119:5000/orden/A234
A235,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,1PRC01625G8A7ZE,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A235,http://10.90.111.119:5000/resguardo/A235,http://10.90.111.119:5000/orden/A235,http://10.90.111.119:5000/orden/A235
A236,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,1PRC01625G8A83A,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A236,http://10.90.111.119:5000/resguardo/A236,http://10.90.111.119:5000/orden/A236,http://10.90.111.119:5000/orden/A236
A237,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,1PRC01625G8A83T,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A237,http://10.90.111.119:5000/resguardo/A237,http://10.90.111.119:5000/orden/A237,http://10.90.111.119:5000/orden/A237
A238,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,1PRC01625G8A7TF,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A238,http://10.90.111.119:5000/resguardo/A238,http://10.90.111.119:5000/orden/A238,http://10.90.111.119:5000/orden/A238
A239,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,8PRE01643G804N1,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A239,http://10.90.111.119:5000/resguardo/A239,http://10.90.111.119:5000/orden/A239,http://10.90.111.119:5000/orden/A239
A240,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,8PRE01643G8048D,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A240,http://10.90.111.119:5000/resguardo/A240,http://10.90.111.119:5000/orden/A240,http://10.90.111.119:5000/orden/A240
A241,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,1PRE01712G8H5EX,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A241,http://10.90.111.119:5000/resguardo/A241,http://10.90.111.119:5000/orden/A241,http://10.90.111.119:5000/orden/A241
A242,POLICIA,,,,XX,4-Mar,PORTATIL,SEPURA,STP9038,1PRE01711G8H4WR,XX,UDAT,,,,ENTRAGADO,4-Mar,18-Mar,PEPE,PROGRAMACION,SE PROGRAMARON EQUIPOS CON FRECUENCIAS OPERATIVAS DE POLICIA.,http://10.90.111.119:5000/resguardo/A242,http://10.90.111.119:5000/resguardo/A242,http://10.90.111.119:5000/orden/A242,http://10.90.111.119:5000/orden/A242
A243,TRANSITO,,,,109,4-Mar,PORTATIL,KENWOOD,NX-320,B4501034,XX,SUPERVISION DE UNIDADES,,,,ENTRAGADO,26-May,27-May,PEPE,REPARACION,"SE REPARO FALLA EN CONTROL DE VOLUMEN, SE REVISARON PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK.",http://10.90.111.119:5000/resguardo/A243,http://10.90.111.119:5000/resguardo/A243,http://10.90.111.119:5000/orden/A243,http://10.90.111.119:5000/orden/A243
A244,ESCOLTAS,,,,XX,4-Mar,CARGADOR,SEPURA,XX,7PP101703B9G3C7,XX,SECRETARIO,,,,ENTRAGADO,4-Mar,4-Mar,PEPE,CAMBIO,SE ENTREGA CARGADOR PARA RADIO PORTATIL SEPURA.,http://10.90.111.119:5000/resguardo/A244,http://10.90.111.119:5000/resguardo/A244,http://10.90.111.119:5000/orden/A244,http://10.90.111.119:5000/orden/A244
A245,TRANSITO,,,,XX,14-Mar,MOVIL,KENWOOD,TK8180,B3802311,xx,SUPERVISION DE UNIDADES,,,,ENTRAGADO,9-Mar,19-Mar,CESAR,DIAGNOSTICO,"SE REVISA EQUIPO ENCONTRANDO FALLA EN TARJETA PRICIPAL POR LO QUE NO ES COSTEABLE SU REPARACION, SE REGRESA A LA DEPENDENCIA PARA LOS FINES QUE MAS CONVENGAN.",http://10.90.111.119:5000/resguardo/A245,http://10.90.111.119:5000/resguardo/A245,http://10.90.111.119:5000/orden/A245,http://10.90.111.119:5000/orden/A245
A246,POLICIA,,,,50,8-Mar,BATERIA,SEPURA,XX,D-48,XX,LEONII,,,,ENTRAGADO,8-Mar,,PEPE,DIAGNOSTICO,LA BATERIA CUENTA CON UN LIGERO ABULTAMIENTO Y LA MISMA YA NO RETIENE CARGA POR LO CUAL NO SE RECOMIENDA EL CAMBIO DE LA MISMA.,http://10.90.111.119:5000/resguardo/A246,http://10.90.111.119:5000/resguardo/A246,http://10.90.111.119:5000/orden/A246,http://10.90.111.119:5000/orden/A246
A247,POLICIA,,,,51,5-Mar,ELIMINADOR,SEPURA,XX,258,XX,CONTROL DE RADIOS,,,14452,ENTRAGADO,8-Mar,,JC,REPARACION,"SE REPARA FALSO CONTACTO EN CABLE DE ALIMENTACION DEL ELIMINADOR, SE SOLDA DIRACTO AL EQUIPO, TRABAJA CORRECTAMENTE.",http://10.90.111.119:5000/resguardo/A247,http://10.90.111.119:5000/resguardo/A247,http://10.90.111.119:5000/orden/A247,http://10.90.111.119:5000/orden/A247
A248,POLICIA,,,,52,5-Mar,ELIMINADOR,SEPURA,XX,460,XX,CONTROL DE RADIOS,,,14453,ENTRAGADO,12-Mar,    ,SERGIO,REPARACION,SE SOLDA CABLE DIRECTO AL ELIMINADOR FUNCIONA CORRECTAMENTE,http://10.90.111.119:5000/resguardo/A248,http://10.90.111.119:5000/resguardo/A248,http://10.90.111.119:5000/orden/A248,http://10.90.111.119:5000/orden/A248
A249,POLICIA,,,,54,15-Mar,BATERIA,KENWOOD,XX,XX,XX,LEONII,,,,ENTRAGADO,,,MARTIN,DIAGNOSTICO,LA BATERIA CUENTA CON UN LIGERO ABULTAMIENTO Y LA MISMA YA NO RETIENE CARGA POR LO CUAL NO SE RECOMIENDA EL CAMBIO DE LA MISMA.,http://10.90.111.119:5000/resguardo/A249,http://10.90.111.119:5000/resguardo/A249,http://10.90.111.119:5000/orden/A249,http://10.90.111.119:5000/orden/A249
A250,TRANSITO,,,,112,5-Mar,PORTATIL,KENWOOD,NX-320,B4500957,XX,SUPERVISION DE UNIDADES,,,,ENTRAGADO,27-May,4-Aug,PEPE,REPARACION,"SE REPARO FALLA EN CONTROL DE VOLUMEN, SE REVISARON PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK.",http://10.90.111.119:5000/resguardo/A250,http://10.90.111.119:5000/resguardo/A250,http://10.90.111.119:5000/orden/A250,http://10.90.111.119:5000/orden/A250
A251,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,KENWOOD,TK-7102H-1,70402831,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,"TRANSMITE, FALTA CONECTOR DE ALIMENTACION",http://10.90.111.119:5000/resguardo/A251,http://10.90.111.119:5000/resguardo/A251,http://10.90.111.119:5000/orden/A251,http://10.90.111.119:5000/orden/A251
A252,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FZL5039,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,"TRANSMITE, FALTA CONECTOR DE ALIMENTACION",http://10.90.111.119:5000/resguardo/A252,http://10.90.111.119:5000/resguardo/A252,http://10.90.111.119:5000/orden/A252,http://10.90.111.119:5000/orden/A252
A253,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FXL1674,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,"TRANSMITE, FALTA CONECTOR DE ALIMENTACION",http://10.90.111.119:5000/resguardo/A253,http://10.90.111.119:5000/resguardo/A253,http://10.90.111.119:5000/orden/A253,http://10.90.111.119:5000/orden/A253
A254,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FCC0312,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,EQUIPO TRABAJANDO BIEN,http://10.90.111.119:5000/resguardo/A254,http://10.90.111.119:5000/resguardo/A254,http://10.90.111.119:5000/orden/A254,http://10.90.111.119:5000/orden/A254
A255,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FZA3202,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,TIENE CORTO CIRCUITO LA LOGICA,http://10.90.111.119:5000/resguardo/A255,http://10.90.111.119:5000/resguardo/A255,http://10.90.111.119:5000/orden/A255,http://10.90.111.119:5000/orden/A255
A256,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FYL7359,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,"NO SE ECUCHA, FALTA CONECTOR DE ALIMENTACION",http://10.90.111.119:5000/resguardo/A256,http://10.90.111.119:5000/resguardo/A256,http://10.90.111.119:5000/orden/A256,http://10.90.111.119:5000/orden/A256
A257,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FZL5035,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,FALLA EN LA PARTE DE RX DE TARJETA,http://10.90.111.119:5000/resguardo/A257,http://10.90.111.119:5000/resguardo/A257,http://10.90.111.119:5000/orden/A257,http://10.90.111.119:5000/orden/A257
A258,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FYL7381,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,TIENE COMPONENTE DE RF DAÑADO,http://10.90.111.119:5000/resguardo/A258,http://10.90.111.119:5000/resguardo/A258,http://10.90.111.119:5000/orden/A258,http://10.90.111.119:5000/orden/A258
A259,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,MOTOROLA,RADIUS SM50,682FZA3213,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,REVISAR PROGRAMACION O RX (TARJETA),http://10.90.111.119:5000/resguardo/A259,http://10.90.111.119:5000/resguardo/A259,http://10.90.111.119:5000/orden/A259,http://10.90.111.119:5000/orden/A259
A260,ALUMBRADO PUBLICO,,,,DGOP/SGEOM/MIIU/177/21,5-Mar,MOBIL,KENWOOD,TK-7102H-1,80101045,XX,OPERATIVA,,,,ENTRAGADO,8-Mar,9-Mar,CER,DIAGNOSTICO,TIENE DAÑADA LA TARJETA LOGICA,http://10.90.111.119:5000/resguardo/A260,http://10.90.111.119:5000/resguardo/A260,http://10.90.111.119:5000/orden/A260,http://10.90.111.119:5000/orden/A260
A261,C4 (TELEFONIA),,,,XX,9-Mar,MOBIL,KENWOOD,TK-8102H,70500059,XX,TELEFONIA DELEGACION NORTE,,,,ENTRAGADO,9-Mar,9-Mar,JC Y CESAR,ISNTALACION,"SE REALIZA LA INSTALACION DE EQIPO DE RADIO MOBIL, ASI COMO LA ANTENA Y CABLEADO DE ALIMENTACION. PARAMETROS CORRECTOS RX Y TX-OK",http://10.90.111.119:5000/resguardo/A261,http://10.90.111.119:5000/resguardo/A261,http://10.90.111.119:5000/orden/A261,http://10.90.111.119:5000/orden/A261
A262,POLICIA,,,,55,9-Mar,PORTATIL,SEPURA,STP9038,1PRC01625G8A854,XX,CONTROL DE RADIOS ,,,,ENTRAGADO,10-Mar,16-Mar,CESAR,REPARACION,SE CAMBIO CONTROL DE VOLUMEN SE REVISAN PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK,http://10.90.111.119:5000/resguardo/A262,http://10.90.111.119:5000/resguardo/A262,http://10.90.111.119:5000/orden/A262,http://10.90.111.119:5000/orden/A262
